E, l0, l1, l2, l3, l4, l5, l6
0.310847, -0.871204, 0.445141, 1.499556, -0.865743, -0.394827, -0.263175, 2.224842
0.312034, -0.879388, 0.437271, 1.492332, -0.871782, -0.398897, -0.265220, 2.235517
0.313220, -0.887539, 0.429437, 1.485137, -0.877821, -0.402981, -0.267255, 2.245857
0.314407, -0.895659, 0.421638, 1.477972, -0.883859, -0.407081, -0.269280, 2.255868
0.315593, -0.903750, 0.413871, 1.470840, -0.889893, -0.411199, -0.271295, 2.265558
0.316779, -0.911813, 0.406137, 1.463739, -0.895921, -0.415336, -0.273300, 2.274933
0.317966, -0.919852, 0.398433, 1.456671, -0.901940, -0.419493, -0.275294, 2.284000
0.319152, -0.927869, 0.390757, 1.449636, -0.907947, -0.423671, -0.277278, 2.292768
0.320339, -0.935866, 0.383107, 1.442633, -0.913940, -0.427869, -0.279254, 2.301243
0.321525, -0.943846, 0.375481, 1.435662, 2.221675, -0.432088, -0.281222, 2.309435
0.322712, -0.951810, 0.367876, 1.428722, 2.215717, -0.436328, -0.283185, 2.317351
0.323898, -0.959763, 0.360291, 1.421812, 2.209779, -0.440588, -0.285145, 2.325001
0.325085, -0.967704, 0.352722, 1.414930, 2.203863, -0.444867, -0.287103, 2.332393
0.326271, -0.975638, 0.345167, 1.408074, 2.197971, -0.449163, -0.289062, 2.339537
0.327457, -0.983566, 0.337624, 1.401244, 2.192104, -0.453475, -0.291025, 2.346442
0.328644, -0.991490, 0.330090, 1.394436, 2.186263, -0.457800, -0.292994, 2.353119
0.329830, -0.999411, 0.322563, 1.387648, 2.180450, -0.462138, -0.294973, 2.359578
0.331017, -1.007331, 0.315040, 1.380879, 2.174664, -0.466484, -0.296964, 2.365828
0.332203, -1.015252, 0.307521, 1.374125, 2.168906, -0.470837, -0.298969, 2.371879
0.333390, -1.023173, 0.300002, 1.367384, 2.163176, -0.475194, -0.300993, 2.377743
0.334576, -1.031096, 0.292483, 1.360653, 2.157472, -0.479553, -0.303036, 2.383428
0.335763, -1.039020, 0.284961, 1.353929, 2.151795, -0.483910, -0.305102, 2.388944
0.336949, -1.046946, 0.277437, 1.347211, 2.146142, -0.488262, -0.307193, 2.394300
0.338135, -1.054874, 0.269909, 1.340496, 2.140513, 2.648985, -0.309310, -0.742086
0.339322, -1.062803, 0.262376, 1.333781, 2.134905, 2.644650, -0.311455, -0.737022
0.340508, -1.070731, 0.254840, 1.327064, 2.129317, 2.640326, -0.313630, -0.732091
0.341695, -1.078658, 0.247299, 1.320344, 2.123746, 2.636018, -0.315835, -0.727286
0.342881, -1.086583, 0.239754, 1.313619, 2.118191, 2.631726, -0.318070, -0.722601
0.344068, -1.094503, 0.232207, 1.306887, 2.112648, 2.627452, -0.320336, -0.718028
0.345254, -1.102417, 0.224658, 1.300147, 2.107114, 2.623199, -0.322632, -0.713563
0.346440, -1.110322, 0.217108, 1.293398, 2.101588, 2.618967, -0.324958, -0.709200
0.347627, -1.118217, 0.209559, 1.286641, 2.096066, 2.614758, -0.327312, -0.704936
0.348813, -1.126099, 0.202013, 1.279873, 2.090546, 2.610572, -0.329693, -0.700766
0.350000, -1.133965, 0.194472, 1.273097, 2.085024, 2.606409, -0.332099, -0.696687
0.351186, -1.141814, 0.186939, 1.266312, 2.079499, 2.602269, -0.334529, -0.692699
